iter	Passed	Remaining
478	728	792
479	729	790
480	729	787
481	730	785
482	731	782
483	732	780
484	732	778
485	733	775
486	734	773
487	734	771
488	736	770
489	740	770
490	743	770
491	743	768
492	744	765
493	745	763
494	746	761
495	746	758
496	747	756
497	748	754
498	748	751
499	749	749
500	755	752
501	756	750
502	757	748
503	757	745
504	758	743
505	759	741
506	762	741
507	763	739
508	766	739
509	771	741
510	773	739
511	774	738
512	776	736
513	778	736
514	779	733
515	780	731
516	786	734
517	787	733
518	788	730
519	789	728
520	790	726
521	790	724
522	791	721
523	792	720
524	793	717
525	794	715
526	795	713
527	802	717
528	803	715
529	804	713
530	804	710
531	805	708
532	806	706
533	806	704
534	807	701
535	808	699
536	808	697
537	809	695
538	812	694
539	814	693
540	815	692
541	816	690
542	817	687
543	818	685
544	818	683
545	819	681
546	820	679
547	821	677
548	821	675
549	822	673
550	823	670
551	824	668
552	824	666
553	825	664
554	826	662
555	829	662
556	830	660
557	831	658
558	831	656
559	832	654
560	833	652
561	834	650
562	835	648
563	836	646
564	836	644
565	837	642
566	838	640
567	847	644
568	855	648
569	856	646
570	857	644
571	860	643
572	861	642
573	862	640
574	863	638
575	864	636
576	865	634
577	866	632
578	867	630
579	868	628
580	869	626
581	870	625
582	871	623
583	871	621
584	873	619
585	875	618
586	876	616
587	877	614
588	878	613
589	879	611
590	880	609
591	880	607
592	881	605
593	883	603
594	884	601
595	884	599
596	885	598
597	887	596
598	888	594
599	890	593
600	891	591
601	892	589
602	892	587
603	897	588
604	899	587
605	901	585
606	903	585
607	906	584
608	908	583
609	909	581
610	910	579
611	911	577
612	912	575
613	913	574
614	914	572
615	915	570
616	916	568
617	917	567
618	919	566
619	921	564
620	921	562
621	922	560
622	923	558
623	924	556
624	924	554
625	925	553
626	926	551
627	927	549
628	930	549
629	932	547
630	933	545
631	934	544
632	935	542
633	936	540
634	936	538
635	937	536
636	938	535
637	939	533
638	940	531
639	941	529
640	942	527
641	943	525
642	944	524
643	946	522
644	952	524
645	953	522
646	954	520
647	954	518
648	955	516
649	956	514
650	957	513
651	959	512
652	960	510
653	966	511
654	968	510
655	969	508
656	970	506
657	971	505
658	979	506
659	980	505
660	981	503
661	982	501
662	982	499
663	988	500
664	989	498
665	990	496
666	991	494
667	1000	497
668	1001	495
669	1002	493
670	1002	491
671	1003	489
672	1004	488
673	1005	486
674	1005	484
675	1006	482
676	1007	480
677	1010	479
678	1011	478
679	1012	476
680	1012	474
681	1026	478
682	1028	477
683	1029	475
684	1032	474
685	1035	473
686	1037	472
687	1038	471
688	1039	469
689	1040	467
690	1046	467
691	1047	466
692	1047	464
693	1048	462
694	1052	461
695	1053	459
696	1053	458
697	1056	457
698	1057	455
699	1057	453
700	1062	453
701	1065	452
702	1070	452
703	1071	450
704	1072	448
705	1079	449
706	1084	449
707	1087	448
708	1088	446
709	1093	446
710	1093	444
711	1097	443
712	1099	442
713	1101	441
714	1103	439
715	1105	438
716	1107	437
717	1108	435
718	1110	434
719	1112	432
720	1113	430
721	1114	428
722	1114	427
723	1115	425
724	1116	423
725	1116	421
726	1117	419
727	1118	417
728	1118	415
729	1119	414
730	1120	412
731	1121	410
732	1122	408
733	1123	406
734	1124	405
735	1125	403
736	1127	402
737	1128	400
738	1128	398
739	1129	396
740	1130	395
741	1131	393
742	1131	391
743	1132	389
744	1133	387
745	1134	386
746	1134	384
747	1135	382
748	1138	381
749	1139	379
750	1140	378
751	1141	376
752	1142	374
753	1143	373
754	1144	371
755	1145	369
756	1145	367
757	1146	366
758	1148	364
759	1149	362
760	1149	361
761	1150	359
762	1151	357
763	1152	355
764	1153	354
765	1154	352
766	1155	351
767	1156	349
768	1156	347
769	1157	345
770	1158	344
771	1159	342
772	1160	340
773	1160	338
774	1161	337
775	1162	335
776	1167	335
777	1173	334
778	1178	334
779	1179	332
780	1188	333
781	1189	331
782	1190	329
783	1191	328
784	1192	326
785	1192	324
786	1193	323
787	1194	321
788	1196	320
789	1197	318
790	1198	316
791	1199	314
792	1200	313
793	1201	311
794	1203	310
795	1204	308
796	1205	306
797	1205	305
798	1208	303
799	1208	302
800	1209	300
801	1210	298
802	1211	297
803	1211	295
804	1212	293
805	1214	292
806	1215	290
807	1216	289
808	1217	287
809	1218	285
810	1219	284
811	1220	282
812	1220	280
813	1221	279
814	1222	277
815	1223	275
816	1224	274
817	1225	272
818	1225	270
819	1226	269
820	1227	267
821	1227	265
822	1233	265
823	1233	263
824	1234	261
825	1235	260
826	1236	258
827	1237	257
828	1238	255
829	1239	253
830	1240	252
831	1241	250
832	1241	248
833	1242	247
834	1243	245
835	1244	244
836	1246	242
837	1249	241
838	1250	240
839	1251	238
840	1252	236
841	1253	235
842	1254	233
843	1255	231
844	1255	230
845	1256	228
846	1257	227
847	1260	225
848	1261	224
849	1262	222
850	1263	221
851	1264	219
852	1268	218
853	1268	216
854	1269	215
855	1270	213
856	1271	212
857	1272	210
858	1275	209
859	1276	207
860	1277	206
861	1278	204
862	1279	203
863	1280	201
864	1304	203
865	1322	204
866	1323	203
867	1324	201
868	1325	199
869	1326	198
870	1327	196
871	1327	194
872	1328	193
873	1329	191
874	1331	190
875	1332	188
876	1333	187
877	1334	185
878	1335	183
879	1336	182
880	1337	180
881	1338	179
882	1339	177
883	1340	175
884	1341	174
885	1342	172
886	1343	171
887	1344	169
888	1344	167
889	1345	166
890	1346	164
891	1347	163
892	1348	161
893	1349	160
894	1350	158
895	1351	156
896	1352	155
897	1353	153
898	1354	152
899	1355	150
900	1356	149
901	1357	147
902	1358	145
903	1359	144
904	1359	142
905	1360	141
906	1361	139
907	1361	137
908	1362	136
909	1363	134
910	1364	133
911	1364	131
912	1365	130
913	1366	128
914	1367	127
915	1369	125
916	1370	124
917	1371	122
918	1372	120
919	1373	119
920	1374	117
921	1374	116
922	1375	114
923	1376	113
924	1377	111
925	1378	110
926	1379	108
927	1380	107
928	1380	105
929	1381	104
930	1382	102
931	1383	100
932	1385	99
933	1385	97
934	1386	96
935	1387	94
936	1392	93
937	1393	92
938	1394	90
939	1395	89
940	1396	87
941	1396	86
942	1397	84
943	1398	82
944	1400	81
945	1400	79
946	1401	78
947	1402	76
948	1404	75
949	1404	73
950	1405	72
951	1406	70
952	1407	69
953	1408	67
954	1408	66
955	1409	64
956	1410	63
957	1411	61
958	1412	60
959	1413	58
960	1413	57
961	1414	55
962	1415	54
963	1416	52
964	1417	51
965	1418	49
966	1419	48
967	1420	46
968	1420	45
969	1421	43
970	1422	42
971	1423	40
972	1424	39
973	1425	38
974	1425	36
975	1426	35
976	1427	33
977	1428	32
978	1429	30
979	1432	29
980	1433	27
981	1434	26
982	1435	24
983	1436	23
984	1437	21
985	1438	20
986	1439	18
987	1459	17
988	1460	16
989	1461	14
990	1462	13
991	1463	11
992	1489	10
993	1490	8
994	1502	7
995	1503	6
996	1504	4
997	1505	3
998	1506	1
999	1532	0
